079	9073	0	145168	2	0
359	998	5988	19960	1	9073
182	60	180	1080	5	10071
135	10147	10147	192793	2	10147
497	1125	10125	13500	1	20294
220	10725	21450	85800	3	21450
324	563	2252	2815	2	32175
185	32	64	448	1	32738
106	10925	32775	152950	5	32775
247	127	381	2667	1	43700
392	10957	43828	153398	1	43828
025	10908	32724	54540	4	54785
336	10805	32415	86440	3	65693
254	10780	32340	204820	2	76498
341	10272	61632	215712	4	87278
012	10841	97569	260184	2	97569
399	10828	97452	140764	1	108410
015	10786	97074	258864	2	119238
372	432	12960	22464	2	130024
197	10872	130464	239184	4	130464
354	10771	107710	301588	1	141336
365	8737	0	122318	2	152107
178	10724	160860	182308	5	160860
291	10704	171264	192672	2	171584
117	10702	85616	256848	4	182288
075	4714	117850	202702	1	192990
223	10985	197730	428415	4	197730
417	10942	196956	284492	1	208715
415	10692	192456	245916	3	219657
368	10640	159600	372400	1	230349
436	10569	190242	200811	3	240989
483	6156	73872	123120	5	251558
297	10739	257736	451038	4	257736
384	656	19680	20992	5	268475
112	10767	269175	312243	2	269175
412	10606	265150	487876	1	279942
130	10565	63390	221865	3	290548
234	10553	42212	179401	3	301113
192	10527	42108	200013	5	311666
338	10525	189450	378900	3	322193
481	10519	42076	199861	4	332718
363	10453	167248	376308	1	343237
198	10418	93762	312540	3	353690
111	10369	217749	425129	4	364108
228	10360	103600	113960	3	374477
306	10285	205700	267410	2	384837
418	10205	204100	306150	2	395122
422	10200	244800	428400	3	405327
206	10183	81464	101830	5	415527
007	10144	60864	223168	3	425710
246	10123	40492	192337	2	435854
367	10083	362988	443652	3	445977
420	559	26832	36335	4	456060
448	10873	456666	695872	3	456666
163	10734	450828	515232	2	467539
331	10081	10081	120972	3	478273
476	10080	120960	171360	5	488354
268	10079	302370	332607	1	498434
162	10046	30138	190874	2	508513
258	10046	150690	371702	4	518559
332	10043	241032	311333	5	528605
131	10019	40076	200380	5	538648
443	9987	149805	209727	3	548667
067	9981	59886	269487	5	558654
493	9960	89640	139440	5	568635
167	9927	238248	357372	3	578595
123	9876	98760	217272	4	588522
272	9823	157168	275044	1	598398
435	9802	9802	215644	4	608221
022	9773	146595	195460	4	618023
023	9754	292620	487700	3	627796
340	9707	58242	213554	4	637550
045	9649	77192	154384	4	647257
036	9629	192580	337015	4	656906
274	9598	460704	662262	1	666535
018	9583	143745	335405	5	676133
379	9574	57444	95740	3	685716
350	9561	172098	372879	4	695290
376	9557	172026	210254	4	704851
021	9525	114300	180975	3	714408
200	9509	47545	228216	1	723933
337	9462	28386	66234	1	733442
157	9444	283320	481644	3	742904
213	9291	167238	371640	2	752348
218	9280	37120	55680	2	761639
321	9278	194838	204116	4	770919
044	9270	37080	83430	5	780197
150	9257	27771	222168	5	789467
054	9257	74056	83313	3	798724
224	9243	55458	101673	3	807981
101	9230	36920	92300	1	817224
479	9214	55284	128996	5	826454
222	9195	183900	211485	5	835668
265	9166	91660	238316	3	844863
137	9082	54492	99902	2	854029
205	9042	36168	54252	2	863111
121	9014	27042	45070	4	872153
428	8997	62979	260913	4	881167
285	8972	376824	529348	1	890164
259	8950	17900	71600	2	899136
326	8935	134025	214440	2	908086
468	8926	142816	160668	1	917021
277	8922	89220	142752	2	925947
076	8893	106716	293469	1	934869
317	8864	159552	301376	2	943762
103	8829	52974	141264	5	952626
038	8824	17648	44120	2	961455
097	8756	52536	113828	2	970279
280	8730	52380	78570	4	979035
333	8691	86910	208584	1	987765
216	8670	303450	312120	3	996456
094	8660	103920	251140	4	1005126
288	8652	302820	337428	5	1013786
271	8643	25929	138288	1	1022438
142	8614	43070	232578	1	1031081
147	8609	129135	301315	3	1039695
042	8608	172160	318496	2	1048304
471	8596	34384	163324	1	1056912
217	8582	300370	411936	5	1065508
282	8542	68336	239176	4	1074090
407	8523	17046	187506	2	1082632
158	8490	42450	84900	4	1091155
404	8480	169600	330720	3	1099645
287	8437	126555	303732	2	1108125
181	8432	101184	177072	3	1116562
270	8428	42140	75852	1	1124994
208	8421	101052	168420	2	1133422
071	8417	50502	117838	2	1141843
048	8396	125940	142732	4	1150260
380	8374	251220	343334	3	1158656
500	8363	50178	217438	5	1167030
304	8363	125445	217438	5	1175393
212	8355	50130	150390	3	1183756
313	8318	199632	241222	2	1192111
348	8312	49872	74808	2	1200429
409	8299	99588	232372	3	1208741
169	8272	66176	223344	4	1217040
369	8251	99012	148518	3	1225312
393	8246	98952	164920	2	1233563
292	8244	32976	206100	3	1241809
243	8233	131728	205825	5	1250053
375	8212	65696	131392	4	1258286
478	8186	49116	73674	3	1266498
426	8181	16362	57267	1	1274684
019	8177	24531	204425	1	1282865
458	8175	98100	138975	3	1291042
299	8155	24465	146790	4	1299217
429	8132	121980	162640	2	1307372
267	8130	48780	121950	4	1315504
244	8122	129952	276148	3	1323634
325	8101	129616	218727	4	1331756
236	8077	24231	56539	1	1339857
419	8072	80720	137224	5	1347934
467	8071	282485	371266	4	1356006
154	8038	16076	32152	1	1364077
484	8031	16062	160620	1	1372115
474	8019	48114	64152	4	1380146
148	7988	239640	287568	4	1388165
139	7964	95568	222992	4	1396153
145	7946	79460	111244	2	1404117
100	7930	79300	214110	1	1412063
060	7922	158440	324802	2	1419993
403	7921	31684	118815	5	1427915
421	7894	23682	173668	4	1435836
294	7877	94524	118155	1	1443730
453	7859	94308	196475	5	1451607
183	7858	117870	243598	5	1459466
062	7799	77990	210573	5	1467324
449	7764	31056	100932	1	1475123
398	7756	23268	116340	3	1482887
165	7749	0	131733	3	1490643
187	7749	232470	402948	3	1498392
396	7736	23208	54152	1	1506141
129	7721	61768	193025	5	1513877
030	7719	185256	324198	5	1521598
310	7707	138726	292866	1	1529317
295	7703	92436	246496	5	1537024
257	7693	7693	107702	1	1544727
107	7670	61360	230100	5	1552420
113	7668	322056	429408	1	1560090
175	7647	114705	175881	1	1567758
498	7629	61032	198354	3	1575405
069	7602	121632	212856	3	1583034
416	7499	44994	194974	2	1590636
312	7497	0	164934	2	1598135
466	7484	67356	209552	3	1605632
269	7477	29908	82247	2	1613116
116	7423	148460	274651	2	1620593
353	7421	22263	59368	3	1628016
168	7396	0	103544	3	1635437
441	7390	29560	140410	5	1642833
189	7379	14758	140201	2	1650223
451	7367	36835	169441	5	1657602
432	7361	14722	161942	1	1664969
315	7349	14698	80839	5	1672330
464	7339	110085	264204	5	1679679
156	7265	87180	159830	2	1687018
352	7221	7221	151641	5	1694283
387	7217	36085	86604	5	1701504
092	7212	252420	382236	2	1708721
231	7182	114912	258552	2	1715933
191	7165	0	100310	4	1723115
059	7161	179025	250635	3	1730280
296	7062	42372	169488	4	1737441
430	7058	14116	84696	4	1744503
460	7049	28196	56392	2	1751561
152	7034	126612	232122	3	1758610
496	7016	42096	189432	3	1765644
255	6962	83544	125316	2	1772660
037	6936	138720	208080	3	1779622
058	6936	221952	312120	4	1786558
462	6935	166440	305140	2	1793494
013	6926	166224	193928	5	1800429
374	6910	55280	186570	4	1807355
411	6890	20670	144690	5	1814265
383	6880	13760	20640	5	1821155
149	6878	137560	206340	2	1828035
136	6837	109392	170925	1	1834913
344	6813	81756	102195	4	1841750
486	6781	101715	115277	1	1848563
358	6739	40434	148258	1	1855344
284	6710	60390	134200	2	1862083
346	6703	60327	73733	4	1868793
316	6688	53504	100320	2	1875496
053	6679	160296	233765	5	1882184
072	6678	40068	100170	5	1888863
356	6654	0	33270	3	1895541
242	6644	79728	152812	1	1902195
455	6637	13274	46459	1	1908839
461	6613	119034	264520	4	1915476
335	6584	98760	190936	3	1922089
010	6567	13134	157608	3	1928673
301	6558	118044	190182	2	1935240
089	6547	104752	157128	4	1941798
485	6540	32700	156960	3	1948345
179	6474	32370	77688	2	1954885
427	6469	155256	161725	5	1961359
004	6442	19326	57978	1	1967828
201	6434	57906	70774	5	1974270
373	6417	128340	224595	4	1980704
225	6385	76620	134085	2	1987121
074	6369	95535	140118	2	1993506
456	6307	6307	75684	1	1999875
176	6285	0	31425	4	2006182
256	6244	62440	181076	3	2012467
345	6209	12418	37254	2	2018711
040	6125	0	85750	2	2024920
378	6114	24456	79482	1	2031045
232	6102	18306	30510	1	2037159
017	6077	109386	188387	3	2043261
173	6065	212275	315380	1	2049338
210	6040	36240	90600	2	2055403
397	6010	18030	126210	5	2061443
140	5920	88800	165760	4	2067453
109	5919	11838	23676	3	2073373
425	5904	70848	177120	1	2079292
026	5893	70716	82502	3	2085196
342	5851	23404	99467	4	2091089
002	5842	35052	110998	4	2096940
096	5801	5801	127622	2	2102782
264	5798	69576	144950	1	2108583
120	5784	173520	214008	3	2114381
446	5761	115220	172830	3	2120165
084	5682	11364	17046	4	2125926
229	5668	141700	255060	5	2131608
477	5661	135864	141525	5	2137276
031	5646	33876	84690	2	2142937
490	5558	111160	127834	4	2148583
211	5511	27555	110220	3	2154141
047	5494	49446	164820	3	2159652
088	5485	0	82275	2	2165146
473	5456	21824	54560	5	2170631
174	5435	48915	86960	4	2176087
032	5390	32340	113190	5	2181522
382	5347	53470	64164	3	2186912
221	5305	53050	127320	5	2192259
049	5292	127008	190512	4	2197564
252	5286	26430	84576	4	2202856
005	5223	20892	47007	3	2208142
279	5152	25760	133952	3	2213365
334	5148	10296	102960	1	2218517
388	5024	30144	100480	3	2223665
413	5019	20076	75285	1	2228689
011	4993	59916	84881	4	2233708
108	4987	44883	154597	4	2238701
362	4975	89550	99500	5	2243688
238	4960	59520	74400	5	2248663
273	4959	99180	183483	3	2253623
090	4888	48880	73320	5	2258582
091	4855	24275	33985	5	2263470
405	4850	38800	111550	3	2268325
278	4849	19396	29094	2	2273175
034	4824	96480	101304	1	2278024
289	4787	19148	62231	1	2282848
066	4702	9404	103444	3	2287635
102	4702	18808	37616	3	2292337
009	4700	75200	159800	4	2297039
470	4660	55920	125820	2	2301739
423	4554	54648	127512	2	2306399
402	4549	68235	154666	1	2310953
457	4544	81792	113600	3	2315502
085	4542	18168	86298	3	2320046
043	4513	90260	126364	3	2324588
260	4477	40293	44770	3	2329101
020	4477	62678	98494	3	2333578
494	4471	17884	111775	3	2338055
298	4468	35744	98296	2	2342526
110	4448	44480	84512	3	2346994
057	4362	26172	61068	4	2351442
286	4353	0	74001	3	2355804
086	4322	86440	121016	5	2360157
171	4304	64560	137728	3	2364479
126	4281	34248	111306	3	2368783
124	4275	106875	145350	4	2373064
230	4266	42660	115182	1	2377339
329	4200	21000	63000	2	2381605
444	4176	75168	121104	1	2385805
035	4082	65312	151034	1	2389981
371	4077	8154	89694	5	2394063
132	4076	61140	138584	2	2398140
237	4031	100775	177364	4	2402216
159	4030	16120	100750	5	2406247
395	4028	20140	68476	1	2410277
389	4015	12045	68255	1	2414305
406	3997	3997	67949	5	2418320
249	3946	39460	86812	4	2422317
475	3925	117750	192325	3	2426263
046	3924	7848	19620	5	2430188
433	3920	19600	101920	1	2434112
087	3908	58620	62528	3	2438032
355	3900	0	70200	5	2441940
095	3890	46680	58350	4	2445840
424	3886	62176	81606	4	2449730
027	3875	15500	77500	1	2453616
343	3871	30968	92904	3	2457491
155	3830	34470	57450	3	2461362
439	3806	22836	38060	3	2465192
327	3782	37820	113460	5	2468998
394	3777	30216	67986	5	2472780
207	3759	56385	60144	4	2476557
033	3748	89952	149920	4	2480316
401	3731	104468	179088	3	2484064
447	3702	11106	88848	3	2487795
028	3661	18305	51254	2	2491497
202	3643	29144	54645	3	2495158
459	3635	29080	61795	5	2498801
351	3555	42660	106650	1	2502436
469	3522	70440	126792	1	2505991
133	3518	52770	123130	5	2509513
105	3516	0	10548	3	2513031
050	3432	20592	72072	3	2516547
239	3399	67980	135960	4	2519979
235	3382	33820	64258	5	2523378
431	3370	20220	37070	1	2526760
188	3326	106432	109758	2	2530130
164	3300	66000	118800	2	2533456
487	3264	0	13056	1	2536756
314	3231	6462	74313	3	2540020
194	3218	32180	54706	2	2543251
275	3205	32050	96150	4	2546469
322	3189	31890	86103	3	2549674
115	3174	12696	38088	1	2552863
495	3151	63020	113436	1	2556037
114	3133	12532	40729	5	2559188
472	3127	62540	81302	4	2562321
138	3126	112536	181308	1	2565448
440	3095	24760	80470	3	2568574
482	3081	12324	43134	3	2571669
180	3039	9117	33429	4	2574750
251	3032	15160	69736	1	2577789
063	3029	36348	72696	4	2580821
226	2998	71952	92938	5	2583850
311	2985	11940	29850	1	2586848
305	2921	17526	81788	1	2589833
068	2856	22848	31416	1	2592754
262	2852	34224	59892	2	2595610
361	2807	8421	25263	3	2598462
184	2785	58485	97475	4	2601269
357	2722	16332	65328	2	2604054
400	2691	32292	48438	2	2606776
014	2633	21064	65825	1	2609467
196	2628	2628	44676	4	2612100
437	2610	26100	60030	1	2614728
438	2585	20680	25850	1	2617338
290	2535	63375	111540	5	2619923
177	2524	20192	63100	2	2622458
001	2498	14988	39968	3	2624982
065	2497	4994	34958	1	2627480
003	2464	59136	73920	1	2629977
118	2436	36540	77952	5	2632441
391	2436	38976	63336	4	2634877
266	2429	9716	34006	1	2637313
261	2420	29040	55660	3	2639742
302	2338	28056	67802	5	2642162
006	2337	18696	42066	4	2644500
452	2321	55704	95161	3	2646837
488	2307	4614	20763	3	2649158
385	2292	34380	64176	4	2651465
153	2255	0	47355	2	2653757
104	2221	4442	35536	3	2656012
276	2219	17752	59913	4	2658233
055	2184	17472	52416	3	2660452
099	2179	8716	41401	1	2662636
051	2172	76020	78192	4	2664815
098	2171	0	45591	3	2666987
077	2146	38628	62234	1	2669158
454	2128	17024	46816	4	2671304
122	2105	12630	39995	2	2673432
339	2085	25020	50040	5	2675537
125	2082	20820	56214	1	2677622
203	2034	32544	42714	4	2679704
349	2029	20290	42609	3	2681738
303	2025	12150	50625	4	2683767
128	1978	5934	35604	3	2685792
245	1958	11748	52866	1	2687770
408	1953	7812	9765	2	2689728
319	1948	58440	97400	2	2691681
056	1934	7736	19340	1	2693629
170	1915	0	30640	5	2695563
190	1909	30544	47725	1	2697478
195	1906	7624	41932	1	2699387
370	1899	11394	13293	2	2701293
199	1891	15128	26474	3	2703192
445	1882	37640	56460	3	2705083
410	1874	16866	39354	5	2706965
078	1872	28080	54288	5	2708839
366	1864	14912	39144	1	2710711
204	1825	7300	10950	2	2712575
293	1802	36040	43248	4	2714400
214	1663	16630	18293	4	2716202
309	1584	38016	72864	5	2717865
300	1531	12248	44399	2	2719449
127	1521	45630	54756	1	2720980
016	1506	3012	24096	5	2722501
161	1491	8946	11928	5	2724007
434	1489	0	25313	2	2725498
186	1476	2952	7380	3	2726987
141	1463	7315	14630	5	2728463
041	1434	28680	48756	3	2729926
480	1422	4266	7110	4	2731360
318	1421	0	9947	5	2732782
008	1411	5644	12699	3	2734203
070	1363	21808	42253	5	2735614
253	1361	10888	34025	2	2736977
073	1346	26920	28266	3	2738338
146	1342	13420	37576	2	2739684
209	1337	5348	30751	2	2741026
151	1316	2632	15792	1	2742363
241	1309	15708	30107	3	2743679
442	1307	2614	10456	1	2744988
233	1305	0	15660	4	2746295
450	1305	7830	10440	3	2747600
492	1298	0	1298	5	2748905
463	1263	0	21471	3	2750203
330	1172	3516	29300	2	2751466
381	1157	0	19669	3	2752638
320	1117	8936	24574	2	2753795
061	1087	26088	28262	1	2754912
144	1067	19206	23474	4	2755999
377	968	23232	43560	2	2757066
064	961	3844	24986	2	2758034
219	953	1906	17154	4	2758995
386	879	8790	9669	5	2759948
283	861	3444	11193	4	2760827
489	828	2484	3312	2	2761688
248	758	11370	12128	2	2762516
029	740	740	8140	3	2763274
081	732	2196	2928	5	2764014
263	728	728	10192	4	2764746
134	645	0	9675	1	2765474
308	614	9210	15964	4	2766119
499	553	1106	5530	1	2766733
143	539	3234	10780	3	2767286
080	534	12816	24564	4	2767825
328	511	5110	10220	2	2768359
166	476	1904	10948	3	2768870
193	463	5556	12038	2	2769346
160	455	10920	18200	2	2769809
093	453	10872	18120	5	2770264
119	427	4270	13664	5	2770717
360	423	2115	4230	2	2771144
307	397	4764	10719	3	2771567
215	376	2256	9400	3	2771964
414	358	716	4654	5	2772340
240	340	3400	9180	2	2772698
465	322	644	7406	5	2773038
491	273	0	4914	4	2773360
323	259	777	4921	1	2773633
390	243	4374	8262	4	2773892
